date,value
9/4/2014 10:02:02,424
9/4/2014 8:50:55,426
9/4/2014 8:50:14,426
9/4/2014 8:49:34,430
9/4/2014 6:44:41,429
9/3/2014 21:12:28,425
9/3/2014 20:56:08,426
9/3/2014 20:55:27,425
9/3/2014 20:54:45,425
9/3/2014 20:54:03,425
9/3/2014 20:53:22,425
9/3/2014 20:52:41,424
9/3/2014 20:52:00,424
9/3/2014 20:51:19,425
9/3/2014 20:50:38,424
9/3/2014 20:49:17,424
9/3/2014 20:48:36,424
9/3/2014 20:32:14,425
9/3/2014 20:31:33,426
9/3/2014 20:04:13,424
9/3/2014 19:47:53,425
9/3/2014 19:47:13,425
9/3/2014 19:46:32,425
9/3/2014 19:45:52,425
9/3/2014 12:51:46,425
9/3/2014 12:51:05,425
9/3/2014 10:03:28,425
9/3/2014 9:58:37,426
9/3/2014 8:59:55,432
9/3/2014 6:58:41,425
9/3/2014 6:58:01,425
9/2/2014 20:48:46,402
9/2/2014 20:48:06,405
9/2/2014 20:13:57,425
9/2/2014 19:51:19,426
9/2/2014 19:50:37,426
9/2/2014 19:49:57,424
9/2/2014 19:23:09,426
9/2/2014 19:22:27,425
9/2/2014 19:21:04,425
9/2/2014 19:20:23,424
9/2/2014 19:00:33,429
9/2/2014 12:29:44,425
9/2/2014 12:02:59,425
9/2/2014 11:01:36,425
9/2/2014 9:39:27,428
9/2/2014 8:08:28,430
9/2/2014 8:07:05,439
9/2/2014 6:13:53,425
9/2/2014 6:13:12,425
9/1/2014 23:28:25,427
9/1/2014 23:27:44,425
9/1/2014 23:27:04,425
9/1/2014 21:33:33,402
9/1/2014 21:32:11,406
9/1/2014 21:23:23,425
9/1/2014 20:57:26,425
9/1/2014 20:56:45,424
9/1/2014 20:10:25,425
9/1/2014 20:09:44,425
9/1/2014 20:02:54,425
9/1/2014 20:02:12,424
9/1/2014 19:36:14,427
9/1/2014 19:25:59,425
9/1/2014 19:25:18,425
9/1/2014 19:24:36,424
9/1/2014 14:45:05,407
9/1/2014 12:59:53,425
9/1/2014 10:02:58,424
9/1/2014 8:07:16,426
9/1/2014 8:06:35,427
9/1/2014 8:05:55,430
9/1/2014 7:57:43,428
9/1/2014 7:48:49,425
9/1/2014 7:43:57,425
9/1/2014 7:24:50,407
9/1/2014 6:32:05,425
9/1/2014 6:31:25,432
9/1/2014 6:30:45,426
9/1/2014 6:21:13,404
9/1/2014 6:19:53,403
9/1/2014 0:24:44,427
